name,link
El Farolito,https://www.yelp.com/biz/el-farolito-san-francisco-2?osq=tacos
Tacorea,https://www.yelp.com/biz/tacorea-san-francisco?osq=tacos
Glena’s,https://www.yelp.com/biz/glenas-san-francisco?osq=tacos
La Taqueria,https://www.yelp.com/biz/la-taqueria-san-francisco-2?osq=tacos
Street Taco,https://www.yelp.com/biz/street-taco-san-francisco?osq=tacos
Taqueria Guadalajara,https://www.yelp.com/biz/taqueria-guadalajara-san-francisco?osq=tacos
Taqueria Vallarta,https://www.yelp.com/biz/taqueria-vallarta-san-francisco?osq=tacos
Panucho’s,https://www.yelp.com/biz/panuchos-san-francisco?osq=tacos
Garaje,https://www.yelp.com/biz/garaje-san-francisco?osq=tacos
Taqueria Cancún,https://www.yelp.com/biz/taqueria-canc%C3%BAn-san-francisco-5?osq=tacos
Nick’s Crispy Tacos,https://www.yelp.com/biz/nicks-crispy-tacos-san-francisco-2?osq=tacos
Garaje,https://www.yelp.com/biz/garaje-san-francisco?osq=tacos
Taqueria Cancún,https://www.yelp.com/biz/taqueria-canc%C3%BAn-san-francisco-5?osq=tacos
Tacolicious,https://www.yelp.com/biz/tacolicious-san-francisco?osq=tacos
Pancho Villa Taqueria,https://www.yelp.com/biz/pancho-villa-taqueria-san-francisco?osq=tacos
Tacorgasmico,https://www.yelp.com/biz/tacorgasmico-san-francisco?osq=tacos
Tacos Club,https://www.yelp.com/biz/tacos-club-san-francisco?osq=tacos
Don Pisto’s,https://www.yelp.com/biz/don-pistos-san-francisco-2?osq=tacos
Taco Bar,https://www.yelp.com/biz/taco-bar-san-francisco?osq=tacos
Papito Potrero Hill,https://www.yelp.com/biz/papito-potrero-hill-san-francisco?osq=tacos
Tropisueño,https://www.yelp.com/biz/tropisue%C3%B1o-san-francisco-3?osq=tacos
Taqueria El Farolito,https://www.yelp.com/biz/taqueria-el-farolito-san-francisco?osq=tacos
Matador,https://www.yelp.com/biz/matador-san-francisco-2?osq=tacos
Papito Potrero Hill,https://www.yelp.com/biz/papito-potrero-hill-san-francisco?osq=tacos
Taqueria Los Coyotes,https://www.yelp.com/biz/taqueria-los-coyotes-san-francisco?osq=tacos
Tacolicious,https://www.yelp.com/biz/tacolicious-san-francisco?osq=tacos
HRD,https://www.yelp.com/biz/hrd-san-francisco-4?osq=tacos
Tacos Club,https://www.yelp.com/biz/tacos-club-san-francisco?osq=tacos
La Oaxaqueña,https://www.yelp.com/biz/la-oaxaque%C3%B1a-san-francisco-2?osq=tacos
El Farolito,https://www.yelp.com/biz/el-farolito-san-francisco?osq=tacos
Taqueria Castillo Mason,https://www.yelp.com/biz/taqueria-castillo-mason-san-francisco?osq=tacos
El Castillito,https://www.yelp.com/biz/el-castillito-san-francisco-2?osq=tacos
El Rancho Grande,https://www.yelp.com/biz/el-rancho-grande-san-francisco?osq=tacos
La Palma Mexicatessen,https://www.yelp.com/biz/la-palma-mexicatessen-san-francisco?osq=tacos
El Buen Comer,https://www.yelp.com/biz/el-buen-comer-san-francisco-3?osq=tacos
Tacko,https://www.yelp.com/biz/tacko-san-francisco?osq=tacos
Tacos El Primo,https://www.yelp.com/biz/tacos-el-primo-san-francisco-2?osq=tacos
San Pancho’s Tacos,https://www.yelp.com/biz/san-panchos-tacos-san-francisco?osq=tacos
The Little Chihuahua,https://www.yelp.com/biz/the-little-chihuahua-san-francisco?osq=tacos
Taqueria Guadalajara,https://www.yelp.com/biz/taqueria-guadalajara-san-francisco-2?osq=tacos
Tacolicious,https://www.yelp.com/biz/tacolicious-san-francisco-7?osq=tacos
Gordo Taqueria,https://www.yelp.com/biz/gordo-taqueria-san-francisco-2?osq=tacos
The Castro Republic,https://www.yelp.com/biz/the-castro-republic-san-francisco?osq=tacos
Padrecito,https://www.yelp.com/biz/padrecito-san-francisco?osq=tacos
El Metate Restaurant,https://www.yelp.com/biz/el-metate-restaurant-san-francisco?osq=tacos
El Gallo Giro Taco Truck,https://www.yelp.com/biz/el-gallo-giro-taco-truck-san-francisco-2?osq=tacos
Mezcalito,https://www.yelp.com/biz/mezcalito-san-francisco?osq=tacos
Los Hermanos Taqueria,https://www.yelp.com/biz/los-hermanos-taqueria-san-francisco?osq=tacos
Garajito,https://www.yelp.com/biz/garajito-san-francisco?osq=tacos
Nopalito,https://www.yelp.com/biz/nopalito-san-francisco-3?osq=tacos
La Corneta Taqueria,https://www.yelp.com/biz/la-corneta-taqueria-san-francisco-2?osq=tacos
Toma,https://www.yelp.com/biz/toma-san-francisco?osq=tacos
Bayshore Taqueria,https://www.yelp.com/biz/bayshore-taqueria-san-francisco?osq=tacos
La Corneta Taqueria,https://www.yelp.com/biz/la-corneta-taqueria-san-francisco?osq=tacos
Uno Dos Tacos,https://www.yelp.com/biz/uno-dos-tacos-san-francisco-3?osq=tacos
Azucar Lounge,https://www.yelp.com/biz/azucar-lounge-san-francisco-4?osq=tacos
El Norteno Taco Truck,https://www.yelp.com/biz/el-norteno-taco-truck-san-francisco?osq=tacos
Californios,https://www.yelp.com/biz/californios-san-francisco?osq=tacos
Papalote Mexican Grill,https://www.yelp.com/biz/papalote-mexican-grill-san-francisco?osq=tacos
Papito Hayes,https://www.yelp.com/biz/papito-hayes-san-francisco?osq=tacos
Taqueria Cazadores,https://www.yelp.com/biz/taqueria-cazadores-san-francisco-2?osq=tacos
Tacos & Tapas Cala,https://www.yelp.com/biz/tacos-and-tapas-cala-san-francisco-2?osq=tacos
